periodoExhibicion,nombreExhibicion,idJugador,participaTriples,participaDunk,participaSkills,equipoRepresentado
2021 - 2022,All Star,201939,0,0,0,LeBron James
2021 - 2022,All Star,2544,0,0,0,LeBron James
2021 - 2022,All Star,203507,0,0,1,LeBron James
2021 - 2022,All Star,201942,0,0,0,LeBron James
2021 - 2022,All Star,203999,0,0,0,LeBron James
2021 - 2022,All Star,1630217,1,0,0,
2021 - 2022,All Star,1628379,1,0,0,
2021 - 2022,All Star,203468,1,0,0,
2021 - 2022,All Star,201988,1,0,0,
2021 - 2022,All Star,1630167,0,1,0,
2021 - 2022,All Star,1630175,0,1,0,
2021 - 2022,All Star,1630224,0,1,0,
2021 - 2022,All Star,1629308,0,1,0,
2021 - 2022,All Star,1630596,0,0,1,
2021 - 2022,All Star,203648,0,0,1,
2021 - 2022,All Star,1630567,0,0,1,
2021 - 2022,All Star,1630595,0,0,1,
2021 - 2022,All Star,1630581,0,0,1,
2021 - 2022,All Star,1629029,0,0,0,LeBron James
2021 - 2022,All Star,1629636,0,0,1,LeBron James
2021 - 2022,All Star,1628386,0,0,1,LeBron James
2021 - 2022,All Star,1627832,1,0,0,LeBron James
2021 - 2022,All Star,202710,0,0,0,LeBron James
2021 - 2022,All Star,101108,0,0,0,LeBron James
2021 - 2022,All Star,203954,0,0,0,Kevin Durant
2021 - 2022,All Star,1628369,0,0,0,Kevin Durant
2021 - 2022,All Star,1629027,1,0,0,Kevin Durant
2021 - 2022,All Star,1629630,0,0,0,Kevin Durant
2021 - 2022,All Star,203952,0,0,0,Kevin Durant
2021 - 2022,All Star,1626164,0,0,0,Kevin Durant
2021 - 2022,All Star,1627749,0,0,0,Kevin Durant
2021 - 2022,All Star,1630163,0,0,0,Kevin Durant
2021 - 2022,All Star,203114,0,0,0,Kevin Durant
2021 - 2022,All Star,1626157,1,0,0,Kevin Durant
2021 - 2022,All Star,203497,0,0,0,Kevin Durant
2021 - 2022,All Star,203897,1,0,0,Kevin Durant
2020 - 2021,All Star,1629029,0,0,1,LeBron James
2020 - 2021,All Star,201939,1,0,0,LeBron James
2020 - 2021,All Star,203507,0,0,0,LeBron James
2020 - 2021,All Star,203999,0,0,0,LeBron James
2020 - 2021,All Star,2544,0,0,0,LeBron James
2020 - 2021,All Star,101108,0,0,1,LeBron James
2020 - 2021,All Star,1627759,1,0,0,LeBron James
2020 - 2021,All Star,202331,0,0,0,LeBron James
2020 - 2021,All Star,203081,0,0,0,LeBron James
2020 - 2021,All Star,1627734,0,0,1,LeBron James
2020 - 2021,All Star,203497,0,0,0,LeBron James
2020 - 2021,All Star,202681,0,0,0,Kevin Durant
2020 - 2021,All Star,203078,0,0,0,Kevin Durant
2020 - 2021,All Star,202695,0,0,0,Kevin Durant
2020 - 2021,All Star,1628369,1,0,0,Kevin Durant
2020 - 2021,All Star,1629627,0,0,0,Kevin Durant
2020 - 2021,All Star,1629014,0,1,0,
2020 - 2021,All Star,1630199,0,1,0,
2020 - 2021,All Star,1630167,0,1,0,
2020 - 2021,All Star,203496,0,0,1,
2020 - 2021,All Star,201935,0,0,0,Kevin Durant
2020 - 2021,All Star,1628378,1,0,0,Kevin Durant
2020 - 2021,All Star,203897,1,0,0,Kevin Durant
2020 - 2021,All Star,202696,0,0,1,Kevin Durant
2020 - 2021,All Star,203944,0,0,1,Kevin Durant
2020 - 2021,All Star,201144,1,0,0,Kevin Durant
2019 - 2020,All Star,202695,0,0,0,LeBron James
2019 - 2020,All Star,203076,0,0,0,LeBron James
2019 - 2020,All Star,2544,0,0,0,LeBron James
2019 - 2020,All Star,201935,0,0,0,LeBron James
2019 - 2020,All Star,1629029,0,0,0,LeBron James
2019 - 2020,All Star,1627732,0,0,0,LeBron James
2019 - 2020,All Star,201566,0,0,0,LeBron James
2019 - 2020,All Star,101108,0,0,0,LeBron James
2019 - 2020,All Star,1626164,1,0,0,LeBron James
2019 - 2020,All Star,1627734,0,0,1,LeBron James
2019 - 2020,All Star,1628369,0,0,1,LeBron James
2019 - 2020,All Star,203999,0,0,0,LeBron James
2019 - 2020,All Star,203507,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,1627741,1,0,0,
2019 - 2020,All Star,202722,1,0,0,
2019 - 2020,All Star,1628984,1,0,0,
2019 - 2020,All Star,203925,1,0,0,
2019 - 2020,All Star,203897,1,0,0,
2019 - 2020,All Star,1629130,1,0,0,
2019 - 2020,All Star,1627884,0,1,0,
2019 - 2020,All Star,1626192,0,1,0,
2019 - 2020,All Star,203932,0,1,0,
2019 - 2020,All Star,2730,0,1,0,
2019 - 2020,All Star,201976,0,0,1,
2019 - 2020,All Star,203915,0,0,1,
2019 - 2020,All Star,1628983,0,0,1,
2019 - 2020,All Star,201565,0,0,1,
2019 - 2020,All Star,202689,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,203954,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,1627783,0,0,1,Giannis Antetokounmpo
2019 - 2020,All Star,1629027,1,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,200768,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,203114,0,0,1,Giannis Antetokounmpo
2019 - 2020,All Star,203497,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,1628378,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,202710,0,0,0,Giannis Antetokounmpo
2019 - 2020,All Star,1628389,0,0,1,Giannis Antetokounmpo
2019 - 2020,All Star,1627742,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,2544,0,0,0,LeBron James
2018 - 2019,All Star,201935,0,0,0,LeBron James
2018 - 2019,All Star,201142,0,0,0,LeBron James
2018 - 2019,All Star,202681,0,0,0,LeBron James
2018 - 2019,All Star,202695,0,0,0,LeBron James
2018 - 2019,All Star,203081,1,0,0,LeBron James
2018 - 2019,All Star,202691,0,0,0,LeBron James
2018 - 2019,All Star,203078,0,0,0,LeBron James
2018 - 2019,All Star,1627732,0,0,0,LeBron James
2018 - 2019,All Star,1626157,0,0,0,LeBron James
2018 - 2019,All Star,200746,0,0,0,LeBron James
2018 - 2019,All Star,2548,0,0,0,LeBron James
2018 - 2019,All Star,203076,0,0,0,LeBron James
2018 - 2019,All Star,203925,1,0,0,
2018 - 2019,All Star,1626164,1,0,0,
2018 - 2019,All Star,203552,1,0,0,
2018 - 2019,All Star,201980,1,0,0,
2018 - 2019,All Star,1627741,1,0,0,
2018 - 2019,All Star,1628977,0,1,0,
2018 - 2019,All Star,1628970,0,1,0,
2018 - 2019,All Star,1628381,0,1,0,
2018 - 2019,All Star,1628372,0,1,0,
2018 - 2019,All Star,1628369,0,0,1,
2018 - 2019,All Star,201144,0,0,1,
2018 - 2019,All Star,1629029,0,0,1,
2018 - 2019,All Star,1628368,0,0,1,
2018 - 2019,All Star,1628398,0,0,1,
2018 - 2019,All Star,1629027,0,0,1,
2018 - 2019,All Star,201939,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203507,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202331,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203954,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202689,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203114,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,201933,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,201566,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203999,0,0,1,Giannis Antetokounmpo
2018 - 2019,All Star,200768,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,1626156,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202696,0,0,1,Giannis Antetokounmpo
2018 - 2019,All Star,1717,1,0,0,Giannis Antetokounmpo
