id,nombre,ciudad,estado,estadio,pais,fechaFundacion,conferencia
1610612737,Hawks,Atlanta,Georgia,State Farm Arena,United States,1949,Eastern
1610612738,Celtics,Boston, Massachusetts,TD Garden,United States,1946,Eastern
1610612740,Pelicans,New Orleans,Louisiana,Smoothie King Center,United States,2002,Western
1610612741,Bulls,Chicago,Illinois,United Center,United States,1966,Eastern
1610612742,Mavericks,Dallas,Texas,American Airlines Center,United States,1980,Western
1610612743,Nuggets,Denver,Colorado,Pepsi Center,United States,1976,Western
1610612745,Rockets,Houston,Texas,Toyota Center,United States,1967,Western
1610612746,Clippers,Los Angeles,California,Staples Center,United States,1970,Western
1610612747,Lakers,Los Angeles,California,Staples Center,United States,1948,Western
1610612748,Heat,Miami,Florida,AmericanAirlines Arena,United States,1988,Eastern
1610612749,Bucks,Milwaukee,Wisconsin,Fiserv Forum,United States,1968,Eastern
1610612750,Timberwolves,Minnesota,Minnesota,Target Center,United States,1989,Western
1610612751,Nets,Brooklyn,New York,Barclays Center,United States,1976,Eastern
1610612752,Knicks,New York,New York,Madison Square Garden,United States,1946,Eastern
1610612753,Magic,Orlando,Florida,Amway Center,United States,1989,Eastern
1610612754,Pacers,Indiana,Indiana,Bankers Life Fieldhouse,United States,1976,Eastern
1610612755,76ers,Philadelphia,Pennsylvania,Wells Fargo Center,United States,1949,Eastern
1610612756,Suns,Phoenix,Arizona,Talking Stick Resort Arena,United States,1968,Western
1610612757,Trail Blazers,Portland,Oregon,Moda Center,United States,1970,Western
1610612758,Kings,Sacramento,California,Golden 1 Center,United States,1948,Western
1610612759,Spurs,San Antonio,Texas,AT&T Center,United States,1976,Western
1610612760,Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,United States,1967,Western
1610612761,Raptors,Toronto,Ontario,Scotiabank Arena,Canada,1995,Eastern
1610612762,Jazz,Utah,Utah,Vivint Smart Home Arena,United States,1974,Western
1610612763,Grizzlies,Memphis,Tennessee,FedExForum,United States,1995,Western
1610612764,Wizards,Washington,District of Columbia,Capital One Arena,United States,1961,Eastern
1610612765,Pistons,Detroit,Michigan,Little Caesars Arena,United States,1948,Eastern
1610612766,Hornets,Charlotte,North Carolina,Spectrum Center,United States,1988,Eastern
1610612739,Cavaliers,Cleveland,Ohio,Quicken Loans Arena,United States,1970,Eastern
1610612744,Warriors,Golden State,California,Chase Center,United States,1946,Western